analysisName,analysisId,period,viewingGap,minViewingTime,participantName,participantId,viewingCountPerStimulusMean,viewingCountPerStimulusMedian,viewingCountTotal,viewingDurationMean,viewingDurationMedian,viewingDurationTotal,averageConvexHullCoverageSlideMean,averageConvexHullCoverageSlideMedian,rawRowCount,gazePointCount,gazePointProportion,nonDuplicateGazePointCount,nonDuplicateGazePointProportion,fixationCount,fixationProportion,fixationNonDuplicateProportion,hazardFixation%,Electrical Hazards Identified,HRI Electrical,Gravity Hazards Identified,HRI Gravity,Mechanical Hazards Identified,HRI Mechanical,Motion Hazards Identified,HRI Motion,Pressure Hazards Identified,HRI Pressure,All Hazards Identified,HRI All,all viewing time,HRPS
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,008_katieB,PwkRuRP7G9Gsfipqt,1,1,1,38020,38020,38020,0.23529659950777684,0.23529659950777684,2365,2082,0.880338266384778,1406,0.675312199807877,103,0.0494716618635927,0.0732574679943101,0.594594595,0,0,1,0.25,0,0,1,0.5,0,0,2,0.25,38020,0.052603893
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,015_davidC,Xx7L3cmJYycQz3qh6,NaN,NaN,0,NaN,NaN,0,NaN,NaN,2709,1103,0.40716131413805834,816,0.7398005439709883,43,0.038984587488667274,0.05269607843137255,0.5,1,1,1,0.5,0,0,0,0,0,0,2,0.285714286,17508,0.114233493
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,018_aaronC,Y5NoyA6RvCv4fc2Xh,1,1,1,103390,103390,103390,0.06247967641439542,0.06247967641439542,6245,5620,0.899919935948759,4422,0.7868327402135231,160,0.028469750889679714,0.03618272274988693,0.505050505,1,1,2,1,0,0,0,0,0,0,3,0.428571429,103390,0.029016346
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,007_kyleC,ZG6oLzYmy4baMy663,1,1,1,100635,100635,100635,0.05178065130198185,0.05178065130198185,6096,5867,0.9624343832020997,4090,0.6971194818476223,241,0.04107721152207261,0.0589242053789731,0.544642857,1,1,1,0.5,1,1,0,0,0,0,3,0.428571429,100635,0.029810702
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,008_katieA,ZaGdvJzRARzbDjAgZ,NaN,NaN,0,NaN,NaN,0,NaN,NaN,7898,2408,0.3048873132438592,1870,0.776578073089701,83,0.03446843853820598,0.04438502673796792,0.786666667,0,0,1,1,1,1,2,0.25,0,0,4,0.4,34866,0.114724947
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,018_aaronA,aHtqJ8bLMhwFFbcKR,1,1,1,79989,79989,79989,0.1191730763226275,0.1191730763226275,11281,4524,0.40102827763496146,3397,0.7508841732979664,151,0.033377541998231654,0.04445098616426259,0.721804511,0,0,1,1,1,1,5,0.625,0,0,7,0.7,79989,0.087512033
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,004_sidA,aqPwwfXdtxAjntvKW,1,1,1,72289,72289,72289,0.11942281293993702,0.11942281293993702,10096,4258,0.4217511885895404,2584,0.606857679661813,182,0.04274307186472522,0.07043343653250773,0.754385965,0,0,0,0,0,0,4,0.5,0,0,4,0.4,72289,0.055333453
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,003_sravanB,bjb74Hct2cLjXiGuR,1,1,1,80620,80620,80620,0.08158179593033377,0.08158179593033377,4877,4534,0.9296698790239901,2882,0.6356418173797971,190,0.04190560211733568,0.0659264399722415,0.620155039,0,0,2,0.5,1,1,0,0,0,0,3,0.375,80620,0.03721161
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,008_katieC,cBz4HFXveD8kFSbjS,NaN,NaN,0,NaN,NaN,0,NaN,NaN,2927,2614,0.8930645712333447,2012,0.7697016067329763,108,0.041315990818668706,0.0536779324055666,0.53030303,1,1,1,0.5,0,0,0,0,0,0,2,0.285714286,42567,0.046984753
20 Sec Period,xXMCT3Y9ZNneBxd6K,20000,5000,30000,012_guillermoA,cgNEekeNkMcgrc3vX,1,1,1,125311,125311,125311,0.12284296441160479,0.12284296441160479,16482,6986,0.42385632811552,5556,0.7953048955052963,265,0.03793300887489264,0.04769618430525558,0.764444444,0,0,1,1,1,1,7,0.875,0,0,9,0.9,125311,0.071821309
