"study","analysis","participant","stimulus","viewingNumber","period","startIndex","endIndex","startTime","endTime","hullPeriod","timeStep","duration","pointCount","pointsX","pointsY","lastPointX","lastPointY","distance","distanceX","distanceY","centroidX","centroidY","centroidDistance","centroidDistanceX","centroidDistanceY","stimulusWidth","stimulusHeight","stimulusArea","area","areaDuration","averageArea","coverage","coverageDuration","averageCoverage"
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,18,26,"20810","25673",4863,183,497,9,"[127,200,280,172,203,176,194,203,164]","[360,156,18,350,192,327,188,160,276]","164","276",122.38055401083949,-39,116,195.89943300507312,222.5777379886601,0,0,0,648,521,337608,6750.5,3354998.5,4523.566312869377,0.01999508305490391,9.937556278287245,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,20,27,"22968","26170",3202,497,498,8,"[280,172,203,176,194,203,164,194]","[18,350,192,327,188,160,276,189]","194","189",92.02716990106781,30,-87,207.83093576413617,199.35878080045578,26.10518590236802,11.93150275906305,-23.218957188204314,648,521,337608,4902.5,2441445,4523.566312869377,0.014521279116608611,7.231597000071089,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,20,28,"22968","26668",3700,498,266,9,"[280,172,203,176,194,203,164,194,198]","[18,350,192,327,188,160,276,189,198]","198","198",9.848857801796104,4,9,207.83093576413617,199.35878080045578,0,0,0,648,521,337608,4173.5,1110151,4523.566312869377,0.012361970095495367,3.2882840454017677,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,20,29,"22968","26934",3966,266,1411,10,"[280,172,203,176,194,203,164,194,198,222]","[18,350,192,327,188,160,276,189,198,142]","222","142",60.92618484691127,24,-56,207.83093576413617,199.35878080045578,0,0,0,648,521,337608,4309.5,6080704.5,4523.566312869377,0.01276480415156039,18.01113865785171,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,21,30,"23616","28345",4729,1411,481,10,"[172,203,176,194,203,164,194,198,222,198]","[350,192,327,188,160,276,189,198,142,146]","198","146",24.331050121192877,-24,4,189.09790768247885,231.69333972208912,37.369105445069735,-18.733028081657324,32.334558921633345,648,521,337608,1018.5,489898.5,4523.566312869377,0.0030168123978104784,1.45108676334684,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,22,31,"23947","28826",4879,481,182,10,"[203,176,194,203,164,194,198,222,198,185]","[192,327,188,160,276,189,198,142,146,181]","185","181",37.33630940518894,-13,35,189.74111801242236,223.0288198757764,8.688361393018418,0.6432103299435141,-8.664519846312714,648,521,337608,297,54054,4523.566312869377,0.0008797184900831734,0.16010876519513756,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,23,32,"24412","29008",4596,182,531,10,"[176,194,203,164,194,198,222,198,185,196]","[327,188,160,276,189,198,142,146,181,163]","196","163",21.095023109728988,11,-18,189.74111801242236,223.0288198757764,0,0,0,648,521,337608,938.5,498343.5,4523.566312869377,0.0027798511883604655,1.4761009810194072,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,24,33,"25092","29539",4447,531,1229,10,"[194,203,164,194,198,222,198,185,196,205]","[188,160,276,189,198,142,146,181,163,132]","205","132",32.28002478313795,9,-31,194.15481171548117,185.97873082287308,37.312059591136055,4.4136937030588115,-37.05008905290333,648,521,337608,771,947559,4523.566312869377,0.0022837136560745004,2.806684083315561,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,27,34,"26170","30768",4598,1229,299,8,"[194,198,222,198,185,196,205,258]","[189,198,142,146,181,163,132,69]","258","69",82.3286098510111,53,-63,214.1564559433732,142.21031649174193,48.122134874512085,20.00164422789203,-43.76841433113114,648,521,337608,437.5,130812.5,4523.566312869377,0.0012958816141797587,0.38746860263974786,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,27,35,"26170","31067",4897,299,165,9,"[194,198,222,198,185,196,205,258,274]","[189,198,142,146,181,163,132,69,31]","274","31",41.23105625617661,16,-38,220.36834541772814,129.42053693905547,14.218510183838477,6.211889474354933,-12.789779552686468,648,521,337608,181.5,29947.5,4523.566312869377,0.000537605743939717,0.08870494775005332,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,28,36,"26668","31232",4564,165,1095,9,"[198,222,198,185,196,205,258,274,177]","[198,142,146,181,163,132,69,31,341]","177","341",324.82148943689054,-97,310,212.8085361356932,177.64152378318585,48.80998144439861,-7.559809282034934,48.22098684413038,648,521,337608,4538,4969110,4523.566312869377,0.013441624606051989,14.718578943626929,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,30,37,"28345","32327",3982,1095,332,8,"[198,185,196,205,258,274,177,160]","[146,181,163,132,69,31,341,421]","160","421",81.78630692236935,-17,80,207.37168575531504,203.91984518931037,26.834856399507718,-5.436850380378161,26.27832140612452,648,521,337608,6525.5,2166466,4523.566312869377,0.01932862965332575,6.417105044904149,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,30,38,"28345","32659",4314,332,316,9,"[198,185,196,205,258,274,177,160,241]","[146,181,163,132,69,31,341,421,188]","241","188",246.6779276708802,81,-233,211.0553015820242,205.88688942454215,4.1759176934107405,3.683615826709172,1.967044235231782,648,521,337608,185,58460,4523.566312869377,0.0005479727968531552,0.17315940380559702,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,30,39,"28345","32975",4630,316,481,10,"[198,185,196,205,258,274,177,160,241,263]","[146,181,163,132,69,31,341,421,188,57]","263","57",132.83448347473634,22,-131,211.0553015820242,205.88688942454215,0,0,0,648,521,337608,3463.5,1665943.5,4523.566312869377,0.010258939361626501,4.934549832942347,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,31,40,"28826","33456",4630,481,797,10,"[185,196,205,258,274,177,160,241,263,167]","[181,163,132,69,31,341,421,188,57,369]","167","369",326.43529220965064,-96,312,211.09482339541924,206.02572329402614,0.144349634741237,0.039521813395026584,0.1388338694839888,648,521,337608,3311.5,2639265.5,4523.566312869377,0.009808713063671476,7.8175443117461665,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,33,41,"29539","34253",4714,797,481,9,"[205,258,274,177,160,241,263,167,225]","[132,69,31,341,421,188,57,369,203]","225","203",175.84083712266613,58,-166,215.36390080838277,200.913777863491,6.660105708068341,4.269077412963526,-5.111945430535144,648,521,337608,1757,845117,4523.566312869377,0.005204260562545911,2.5032493305845835,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,34,42,"30768","34734",3966,481,332,9,"[258,274,177,160,241,263,167,225,166]","[69,31,341,421,188,57,369,203,351]","166","351",159.3267083699403,-59,148,213.60767870386218,234.05128643961436,33.18401408378824,-1.7562221045205888,33.137508576123366,648,521,337608,2757.5,915490,4523.566312869377,0.008167756688230136,2.711695220492405,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,34,43,"30768","35066",4298,332,3501,10,"[258,274,177,160,241,263,167,225,166,226]","[69,31,341,421,188,57,369,203,351,120]","226","120",238.66503723838562,60,-231,215.36038011695908,215.89376218323588,18.241920111776743,1.7527014130969008,-18.15752425637848,648,521,337608,591.5,2070841.5,4523.566312869377,0.0017520319423710339,6.13386383024099,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,41,44,"34253","38567",4314,3501,549,4,"[225,166,226,167]","[203,351,120,213]","167","213",110.13627921806692,-59,93,193.50742303484918,226.76308798249727,24.406842822516523,-21.852957082109896,10.86932579926139,648,521,337608,27.5,15097.5,4523.566312869377,0.00008145541574844198,0.04471902324589465,0.013398871806560795
